etd_code,title,department,keywords,abstract
etd_651,Contributions On Theory And Practice For Multi-Mission Wireless Systems,Electrical Engineering and Computer Science,,"The field of wireless systems has long been an active research area with various applications. Recently much attention has been given to multi-mission wireless systems that combine capabilities including information sensing, data processing, energy harvesting as well as the traditional data communication. This dissertation describes our endeavor in addressing some of the research challenges in multi-mission wireless systems, including the development of fundamental limits of such multi-mission wireless systems and effective technologies for improved performance.The first challenge addressed in this dissertation is how to handle interference, which is encountered in almost all wireless systems involving multiple nodes, an attribute shared by most multi-mission systems. To deepen our understanding on the impact of interference, we study a class of Gaussian interference channels (GICs) with mixed interference. A simple coding scheme is proposed based on Sato's non-naive frequency division. The achievable region is shown to be equivalent to that of Costa's noiseberg region for the one-sided Gaussian interference channel. This allows for an indirect proof that this simple achievable rate region is indeed equivalent to the Han-Kobayashi (HK) region with Gaussian input and with time sharing for this class of Gaussian interference channels with mixed interference.Optimal power management strategies are then investigated for a remote estimation system with an energy harvesting sensor. We first establish the asymptotic optimality of uncoded transmission for such a system under Gaussian assumption. With the aim of minimizing the mean squared error (MSE) at the receiver, optimal power allocation policies are proposed under various assumptions with regard to the knowledge at the transmitter and the receiver as well as battery storage capacity. For the case where non-causal side information (SI) of future harvested energy is available and battery storage is unlimited, it is shown that the optimal power allocation amounts to a simple 'staircase-climbing' procedure, where the power level follows a non-decreasing staircase function. For the case where battery storage has a finite capacity, the optimal power allocation policy can also be obtained via standard convex optimization techniques. Dynamic programming is used to optimize the allocation policy when causal SI is available. The issue of unknown transmit power at the receiver is also addressed. Finally, to make the proposed solutions practically more meaningful, two heuristic schemes are proposed to reduce computational complexity.Related to the above remote sensing problem, we provide an information theoretic formulation of a multi-functioning radio where communication between nodes involves transmission of both messages and source sequences. The objective is to study the optimal coding trade-off between the rate for message transmission and the distortion for source sequence estimation. For point-to-point systems, it is optimal to simply split total capacity into two components, one for message transmission and one for source transmission. For the multi-user case, we show that such separation-based scheme leads to a strictly suboptimal rate-distortion trade-off by examining the simple problem of sending a common source sequence and two independent messages through a Gaussian broadcast channel.Finally we study the design of a practical multi-mission wireless system - the dual-use of airborne radio frequency (RF) systems. Specifically, airborne multiple-input-multiple-output (MIMO) communication systems are leveraged for the detection of moving targets in a typical airborne environment that is characterized by the lack of scatterers. With uniform linear arrays (ULAs), angular domain decomposition of channel matrices is utilized and target detection can be accomplished by detection of change in the resolvable paths in the angular domain. For both linear and nonlinear arrays, Doppler frequency analysis can also be applied and the change in frequency components indicates the presence of potential airborne targets. Nonparametric detection of distribution changes is utilized in both approaches."
etd_260,Control of Inflammation Using Drug Delivery Strategies in in vitro Models,Biomedical and Chemical Engineering,"Cellular signaling, Decoy oligonucleotide, Drug delivery, Polysialic acid","Regulation of inflammation is a crucial component of the immune system in response to injury and infection. In otherwise healthy individuals, an initial acute inflammatory response will subside once the injury or infection is eradicated. However, in certain disease states including autoimmune disease and persistent infection, miscommunication between cells of the immune system leads to a chronic inflammatory response, contributing to disease pathology and exacerbating symptoms. A major regulator of inflammation communication at the cellular level is transcription factor (TF) NF-?B. Under normal conditions, NF-?B is bound to an inhibitor in the cytoplasm. In a chronic disease state, NF-?B is overactive and found in the unbound form, resulting in increased production of inflammatory signals.Transcription factor decoys (TFD) are small nucleic acid sequences (~20 base pairs) that mimic the binding site for the TF on the native DNA, but do not encode for any proteins. By binding to the TF in the cytoplasm, TFD have potential to limit excessive immune signaling and inflammatory protein production. Unfortunately, clinical success of TFD has been hampered by a lack of an effective delivery method. Lack of stability and ease of degradation of the TFD require a protective carrier for delivery; however many synthetic carrier systems induce toxicity or an enhanced inflammatory response. In disease states characterized by excessive inflammation, treatment-induced toxicity or immune response is highly undesirable.The Bader lab has previously reported a nanoparticle carrier system based on natural polysaccharides, designed specifically for the treatment of rheumatoid arthritis. The materials used in this system have properties that can be exploited for the additional application of DNA delivery. This thesis will detail the adaptation of polysialic acid-N-trimethyl chitosan nanoparticles to be used as delivery vehicles for an NF-?B TFD treatment in in vitro models of rheumatoid arthritis and cystic fibrosis."
bce_etd_68,Controlling Bacterial Persister Cells and Biofilms by Synthetic Brominated Furanones,Biomedical and Chemical Engineering,"antibiotic tolerance, biofilm, brominated furanones, persister, quorum sensing","Bacteria are well known to obtain tolerance to antibiotics by forming multicellular structures, known as biofilms, and by entering dormancy and forming persister cells. Both mechanisms allow bacteria to tolerate antibiotics at concentrations hundreds to thousands of times higher than the lethal dose for regular planktonic cells of the same genotype. Persister formation increases in biofilms; thus, effective control of persister cells, especially those in biofilms is critically important to infection control. Over the past decades, a bacterial signaling system based on cell density, named quorum sensing (QS), has been found to regulate biofilm formation and, in Pseudomonas aeruginosa, the level of persistence.In this study, we characterized the effects of synthetic brominated furanones, a group of QS inhibitors, on the persistence of P. aeruginosa and Escherichia coli. Our results revealed that (Z)-4-bromo-5-(bromomethylene)-3-methylfuran-2(5H)-one (BF8) can reduce persister formation in P. aeruginosa PAO1 and E. coli RP437 and restore the antibiotic susceptibility of isolated persister cells at growth non-inhibitory concentrations. In addition to planktonic persister cells, BF8 was also found to reduce persister formation in the biofilms of P. aeruginosa PAO1 and E. coli RP437.Study at the genetic level using DNA microarrays demonstrated that BF8 induced the gene mdaB in both strains and 7 genes encoding oxidoreductases in P. aeruginosa. In E. coli RP437 persister cells, BF8 was also found to repress the genes for synthesizing indole, a signaling molecule reported to induce persister formation in E. coli. Interestingly, although BF8 is a QS inhibitor, the QS signal 3-oxo-C12- acyl homoserine-lactone also rendered the persister cells of P. aeruginosa PAO1 and its mucoid mutant PDO300 more sensitive to antibiotics. Furthermore, BF8 was found to have cidal effects on PDO300.Besides BF8, some other BFs were also found to restore the susceptibility of P. aeruginosa PAO1 persister cells to ciprofloxacin. Collectively, these results indicate that this group of QS inhibitors has promising activities to control multidrug tolerant persister cells; and there might be other bacterial targets of BFs in addition to QS inhibition."
etd_377,CONTROLLING BIOFILM AND PERSISTER CELLS BY TARGETING CELL MEMBRANES,Biomedical and Chemical Engineering,"antibiotic resistance, antimicrobial peptides, biofilm, Escherichia coli, persister cells, Pseudomonas aeruginosa","The rapid increase in antibiotic resistant infections and the slowing pace of antibiotic development emphasize the need for alternative therapeutic agents to cure infectious diseases especially those caused by multidrug-resistant (MDR) strains. Bacteria obtain resistance to antibiotics through multiple mechanisms. One of intrinsic mechanisms of drug resistance is persister formation, by which bacterial cells enter a metabolically inactive stage and become highly tolerant to essentially all antibiotics, even at the concentrations that are hundreds of times higher than the lethal dose required to kill normal planktonic cells of the same strain. Persister cells in biofilms are even more difficult to kill due to the presence of an extracellular matrix that can block or retard the penetration of antibiotics. Thus new antimicrobials that are effective against these drug tolerant cells are urgently needed for infection control.In this study, we characterized the antimicrobial activities of newly designed synthetic peptides on Escherichia coli and Pseudomonas aeruginosa strains including regular planktonic cells and those in biofilms and at the persister stages. Our results revealed that 2D-24, an RW-rich dendrimeric peptide, can kill planktonic cells of both P. aeruginosa PAO1 and PDO300 (a mucoid strain) in a dose-dependent manner. Killing effect on biofilm and persister cells was observed at the concentrations without significant toxicity to IB3-1 cells originated from human lung tissues.We also demonstrated that TN-5, a 1,3,5-triazine derivative, has antimicrobial effects on E. coli RP437, P. aeruginosa PAO1 and PDO300 cells, with a minimum inhibitory concentration (MIC) of 12.8 µM, and kills regular planktonic cells of both species dose dependently. TN-5 was also found effective against persister and biofilm cells of both E. coli and P. aeruginosa; and the killing of biofilm cells of the mucoid PDO300 was enhanced by alginate lyase.To understand the effects of AMP charge on the killing effects, we modified the net charge of calcitermin originated from human airway secretions, and tested the effects on E. coli and P. aeruginosa planktonic and persister cells at different pH values. The neutral derivative of calcitermin showed better killing effect on persister cells at pH 7.4.Along with synthetic peptides, we also studied the membrane potential of persister cells with cell sorting and flow cytometry techniques using potentiometric dyes. Persister cells showed lower membrane potential along with lower efflux pump activities compared to normal cells. Based on these findings, we tested the hypothesis that persister cells can be effectively killed by antibiotics that are substrates of efflux pumps. Consistent with this hypothesis, erythromycin was found effective in killing persister cells of E. coli  while normal cells are resistant to it. This higher killing activity of erythromycin was corroborated with higher erythromycin accumulation in persister cells based on the results of Mass Spectrometry analysis."
etd_317,Controlling Microbial Multicellular Behaviors With Saccharide Derivatives,Chemistry,"BIOFILM INHIBITION, CHEMICAL BIOLOGY, MULTICELLULAR BEHAVIORS, PSEUDOMONAS AERUGINOSA, SWARMING","Microbial multicellular behaviors like biofilm formation and swarming motility are known to increase their tolerance against antimicrobials. From microbial standpoint, nonmicrobicidal agents that do not impede growth are tolerable and therefore, there is a lower propensity to develop resistance against such agents as compared to microbicidal ones (antibiotics). This study describes a new antibiofilm approach of using nonmicrobicidal saccharide derivatives for controlling the multicellular behaviors of gram-negative bacteria, Pseudomonas aeruginosa and fungus, Candida albicans.Pseudomonas aeruginosa is known to secrete rhamnolipids, a class of biosurfactants that plays an important role in maintaining the architecture of its biofilm and promoting its swarming motility. Here we show the ability of certain synthetic nonmicrobicidal disaccharide derivatives (DSDs) to mimic the biofunctions of rhamnolipids. The rhlA mutant of P. aeruginosa is incapable of synthesizing rhamnolipids and also unable to swarm on semi-solid agar gel. When the natural ligands, rhamnolipids were externally added into the semi-solid agar gel in a concentration dependent manner, the swarming of the rhlA mutant reactivated at lower concentrations (10 ?M) and then at relatively higher concentrations (15 ?M), the swarming reactivation was reversed. When some active synthetic DSDs were tested on the rhlA mutant, the bacterial swarming first reactivated and then the activation reversed at higher DSD concentrations, similar to the effect of externally added rhamnolipids. Previously, a known bacterial signalling molecule has been shown to exhibit a similar concentration dependent activation and then activation reversal for light simulation by Vibrio fischeri. Some DSDs having disaccharide stereochemistries (cellobiose or maltose) and a bulky aliphatic tail (3, 7, 11-trimethyl-dodecanyl) caused swarming reactivation of the rhlA mutant at concentrations lower than that caused by the externally added rhamnolipids.The synthetic nonmicrobicidal DSDs were also very effective at inhibiting the adhesion of P. aeruginosa to polystyrene surface, and at inhibiting the bacterial biofilm formation. These DSDs were also potent dispersers of pre-formed biofilm of P. aeruginosa. The potent antibiofilm (inhibition and dispersion) activities were observed for those DSDs that possessed a disaccharide (cellobiose or maltose) stereochemistry and a bulky aliphatic chain such as 3, 7, 11-trimethyl-dodecanyl. These potent DSDs had half-maximal inhibitory concentrations for biofilm inhibition (IC50) and dispersion (DC50) comparable to those of known potent antibiofilm agents against P. aeruginosa. Gene-reporting assays indicate that the mechanism of action of such DSDs is not via the known las or rhl quorum sensing systems of P. aeruginosa but that the adhesin potein, pilin maybe a likely target of such molecules.Biofilms formed under natural settings are usually formed by both bacteria and fungus that co-reside in the same microenvironment. Therefore, agents that can prevent mixed biofilms are desirable from a therapeutic standpoint. Despite being nonmicrobicidal to both fungal blastospores and hyphae, the synthetic DSDs were able to inhibit the biofilm formation of fungus Candida albicans. Microscopic evaluation showed that most DSDs did not prevent the blastospores-to-hyphae morphogenesis. The DSDs were effective at inhibiting biofilm formation of Candida albicans when applied within five minutes of seeding the test surface with fungal cells. Using a surface based assay it was shown that one DSD dramatically reduced the surface adhesion of Candida albicans hyphae. The antibiofilm activity of such DSDs against Candida albicans is probably due to their ability to prevent hyphae surface adhesion."
etd_309,Controlling Pseudomonas aeruginosa Persister Cells by Human Granulocyte Macrophage Colony-Stimulating Factor,Biomedical and Chemical Engineering,"Antibiotic tolerance, Flagella, GM-CSF, Persister cells, Pseudomonas aeruginosa, Pyocins","Bacteria are well known to cause chronic infections in humans by entering dormancy and by developing biofilms. These mechanisms allow bacteria to exhibit antibiotic tolerance and relapse to an active virulent state when the antibiotic treatments are discontinued. During bacterial invasions, the host immune cells secrete special signaling proteins, known as cytokines which orchestrate events leading to human immune response and elimination of bacterial pathogens. However, compared to the well documented activitiesof cytokines in immune reaction, little is known about the direct effects of cytokines on bacterial cells.In this study, we focused on granulocyte macrophage colony-stimulating factor (GM-CSF), a cytokine produced by macrophages, T-cells, endothelial cells, and fibroblasts. We chose Pseudomonas aeruginosa as a model bacterium. It is an opportunistic pathogenic bacterium and a major cause of nosocomial infections in individuals with compromised immune systems and cystic fibrosis (CF) patients. We show for the first time that GM-CSF can sensitize the persister cells of P. aeruginosa PAO1 to multiple antibiotics including ciprofloxacin, tobramycin, tetracycline, and gentamicin. The mucoid variant, P. aeruginosa PDO300 was also sensitized by GM-CSF to tobramycin in the presence of alginate lyase. In addition, GM-CSF sensitized the biofilm cells of P. aeruginosa PAO1 and PDO300 to tobramycin in presence of biofilm matrix degrading enzymes DNase I and alginate lyase, respectively. In comparison, the normal cells of P. aeruginosa and the non-pathogenic Escherichia coli K12 persister cellswere not affected by GM-CSF.DNA microarray and qPCR analyses revealed that GM-CSF induced flagella and pyocin associated genes in persister cells of P. aeruginosa PAO1, while the same genes in normal cells did not show significant change. Using co-immunoprecipitation (co-IP) and cross-linking, GM-CSF was found to interact with the protein FliC (flagellin). Deletion of fliC gene abolished the effects of GM-CSF on P. aeruginosa persister cells, which was restored by complementation of the fliC gene. Overall, the findings from thisstudy suggest that cytokines have a direct interaction with bacterial cells and disturb their persistence. The results are helpful for understanding bacterial physiology and for developing new persistence control methods."
etd_470,CONTROLLING PSEUDOMONAS AERUGINOSA PERSISTER CELLS WITH FUNCTIONALIZED NANOPARTICLES,Biomedical and Chemical Engineering,,"Bacteria can form antibiotic tolerant dormant variants, known as persister cells, and complex multicellular structures of biofilms with microbial cells attached to surfaces. Such mechanisms lead to hundreds to thousands times higher tolerance to antimicrobials. With the rapid development of antibiotic resistance in bacterial pathogens and lack of new antibiotics, developing alternative therapies to combat antibiotic resistant pathogens have become an urgency in modern medicine.In this study, we aimed to develop a new inhibitory strategy for persister control using chitosan based N,N,N-trimethyl chitosan (TMC) – polysialic acid (PSA) nanoparticles. Using Pseudomonas aeruginosa PAO1 as a model species. TMC-PSA nanoparticles (NPs) were found to effectively reduce the persistence level of P. aeruginosa PAO1 both in planktonic populations and in biofilms.(Z)-4-bromo-5-(bromomethylene)-3-methylfuran- 2(5H)-one (BF8) is a synthetic brominated furanone with strong activities against bacterial quorum sensing. It can reduce persister formation during bacterial growth (including that in biofilm), and sensitize isolated persisters to antibiotics. To further develop BF8 based control methods, we encapsulated BF8 into TMC-PSA nanoparticles, evaluated BF8 release and tested inhibitory effects of BF8 encapsulated nanoparticles (BFNPs) on bacterial persistence. The inhibitory effects of both NPs and BFNPs on P. aeruginosa PAO1 persistence were found to increase with the concentration of NPs, and the inhibitory activities of NPs and BFNPs were found to increase as pH decreased. Collectively, TMC-PSA nanoparticles exhibited potent inhibition of P. aeruginosa PAO1 persistence and are potential drug carrier system for BF8."
etd_658,CONVENIENT ETHERIFICATION USING TRICHLOROACETIMIDATES AND SYNTHESIS OF AMINOSTEROID SHIP INHIBITORS,Chemistry,,"Alcohols are a common form of functionality in organic chemistry, and are often present in biologically active molecules.  The protection of hydroxy groups is crucial in long multi-step synthetic routes, as the unprotected alcohol is typically not compatible with many reagents.  Alcohols are often protected as corresponding benzyl ether, which can then be removed when desired to reveal the alcohol functional group. Classic methodology for protection of alcohols as benzyl ethers requires harsh conditions utilizing strong acids and bases, which functions well for simple substrates. In more complex multifunctional molecules this can lead to degradation and side products.  Therefore, there is a need for the development of milder conditions for the protection of alcohols.Recently a number of reagents have been developed to form benzyl ethers under mild, neutral conditions that and do not disturb the sensitive functionality in complex molecules.  Many of these reagents have been based on imidate-type systems. The most common imidate system, the trichloroacetimidate, is often utilized for the installation of ethers under Lewis acid catalyzed conditions.  Given their ready availability, a reevaluation of the reactivity of alcohols and trichloroacetimidates has been undertaken.  In many cases, simply heating the imidate with an alcohol in refluxing toluene without an exogenous acid or base is an effective method for the formation of the desired ether. This operationally simple procedure is most effective for trichloroacetimidates that are precursors to highly stabilized cations (i.e. the 4-methoxybenzyl and diphenylmethyl group). The use of this new procedure with a number of acid and base sensitive substrates, which are protected in excellent yield without disturbing the delicate functionality present in these molecules, is presented.Cancer is a group of disorders that are all defined by abnormal cell growth in an organism.  This is a very broad set of diseases that can affect multiple organs.  While classic cancer treatments have focused on killing all cells that divide quickly, more modern treatments attempt to selectively stop cancer progression by influencing cell signaling pathways. There are many studies about how cancer cells coopt cell signaling pathways and use these systems, which control cell growth in normal cells, to facilitate their own uncontrolled progression.  One of the major cell signaling pathways implicated in tumor development is the PI3K pathway, which is governed by the kinase PI3K and the phosphatases PTEN and SHIP.SHIP1 is an SH2-containing inositol 5’-phosphatase found in blood cells that is responsible for the hydrolysis of phosphatidylinositol-3,4,5-trisphosphate to phosphatidylinositol-4,5-bisphosphate.  This enzyme is part of a major cellular signaling pathway (the PI3K pathway) that controls many important cellular events such as proliferation, differentiation and adhesion.  SHIP1 inhibition has been found to increase blood cell production and slow the growth of blood cancer cells. Certain aminosteroids show selectivity as SHIP1 inhibitors and therefore may have therapeutic applications.  In this study, syntheses of a number of aminosteroid derivatives were performed and these compounds are evaluated for their potential as SHIP1 inhibitors."
etd_384,Coordination Chemistry in Biology and Medicine,Chemistry,,"PART I.  Synthesis and Characterization of Novel Metal-Citrate Complexes and the Investigation of Metal-Citrate Transporters in Gram-Positive BacteriaAbstract.Syntheses of new barium, cadmium, calcium, cobalt, iron, lead, magnesium, manganese, nickel, and strontium citrate complexes have been attempted using different methods such as room temperature slow evaporation and hydrothermal reactions to create new metal-citrate complexes.  Crystallizations were conducted under conditions varying metal and ligand concentrations, solution pH, temperature, solvents, and the presence of coligands.  All structures of crystals obtained were characterized by X-ray crystallography.  A novel lead-citrate complex was synthesized with a formula of (Na)[Pb5(C6H5O7)3(C6H6O7)(H2O)] 8H2O.  The structure is two-dimensional with five unique lead sites and four unique citrate ligands.  Three of the citrates exhibit three deprotonated carboxylates and one of them exhibit only two deprotonated carboxylates.  To study the metal-citrate uptake in Escherichia coli and Lactococcus lactis, radioflux assays were performed using citrate that was radiolabeled with 14C.PART II.  Synthesis and Characterization of Novel Bifunctional Single Amino Acid Chelates (SAAC) for Nuclear ImagingAbstract.99mTc(I) and Re(I) complexes can be used to visualize various diseases by linking the radioactive metal cation to biologically active molecules.  One type of bifunctional chelator is the single amino acid chelates (SAACs), which can be effectively coordinated to the {Re(CO)3}+ core through the chelating terminus.  The other terminus can be used to fuse the SAAC into a variety of different peptides or biomolecules.  Based on these strategies, syntheses of various SAAC ligands were investigated.  All structures of crystals obtained were characterized by X-ray crystallography.  A novel SAACQ-Zn complex was synthesized using an optimized direct reductive alkylation method.  Additionally, fluorescence and UV-Vis studies were done on Re(I)-SAAC compounds sent from collaborators."
etd_200,Coordination polymers of the alkaline earth metals for applications in synthesis and gas storage,Chemistry,,"The work presented in this thesis outlines our efforts to synthesize alkaline earth metalcoordination complexes that could potentially serve as gas storage and synthetic precursormaterials. The properties of these complexes are heavily influenced by factors such as thepropensity to aggregate and the absence of energetically available d-orbitals which providedirectionality. These often pose a challenge in obtaining suitable, stable compounds.Some challenges in the crystallization of alkaline earth coordination complexes involvethe precipitation of insoluble aggregates. Thus, a great part of the work focused on studyingsuitable reaction conditions towards the formation of X-ray quality crystals for structuralelucidation. Slow concentration and hydro/solvothermal techniques, among others, were primecrystallization methods in this work.The bulk of this thesis is divided in two parts. The first part details our attempts tosynthesize metal organic frameworks (MOFs) of Mg, Ca, Sr and Ba. Our ligands of choice werethe p, m, o-pyridinecarboxylic acids which provide two different binding sites. These consist ofan N-donor and an anionic carboxylic acid, the N-donor located at different positions in thepyridyl ring depending on the isomer. These are also of low cost and soluble in different organicsolvents.The use of pyridinecarboxylic acids resulted in the systematic isolation of fivemagnesium coordination complexes, three of which exhibit open-framework character andremain stable after removal of guests, and two of which are hydrogen bonded networks. Further,systematic work with the heavier metals resulted in three fully 3-dimensional complexes basedon Ca, Sr and Ba and one hydrogen-bonded Ca complex. A pattern is observed when using thelinear p or angular m-pyridinecarboxylic acid in the presence of MeOH/DMF mixtures, in which3-dimensional motifs with open-framework (p) and dense (m) character (Mg, Ca and Sr) aredisplayed. The dimensionality decreases in the presence of water or strongly coordinatingdonors, leading to the formation of hydrogen bound or 2-dimensional complexes.The second part of this thesis involves the isolation of crown stabilized alkaline earthtosylates. The work resulted in the isolation of four new crown stabilized alkaline earth tosylates.Trends observed include an increase in coordination number as the size of the metal increases.Variation of crown:metal stoichiometry was also studied and resulted in two different calciumspecies displaying fully separated (1:1) and contact separated (1:2) ion association modes. For Srand Ba, (1:1) stoichiometries resulted in hydrogen bound contact species.This thesis provides a selection of alkaline earth metal coordination complexes. Thepreparation of these complexes has led to the elucidation of their synthetic routes. Fullcharacterization of the complexes is also provided."
psy_etd_180,Coping with College Stress: Does Sense of Coherence Influence the Use of Alcohol and OTC Medication?,Psychology,"Alcohol, Over the Counter medication, Sense of Coherence, SOC","The combination of stress and psychological symptoms (e.g., anxiety, depression) have been associated with alcohol consumption and the nonindicated use of over the counter (OTC) medications. However, some people have personal resources that contribute to a successful management of the stress response. Antonovsky's (1987) salutogenic theory proposes that a person's sense of coherence (SOC) buffers the relationship between stress appraisal and stressor-induced reactions. This study examined the SOC in relation to associations of stress-related indices with substance-related coping behaviors. One hundred and sixty-five college student participants completed questionnaires that assessed their demographics, stressors, perceived stress, SOC, psychological/physical symptoms, as well as their past thirty-day use of alcohol and OTC cold/pain medications. Path analyses of these data yielded some reasonably fitting models, with mixed support for study hypotheses. Results from these analyses showed that college students may consume alcohol for reasons unrelated to the reported stress experience. Results also showed that students use OTC cold and pain medications in response to stressors and psychological symptoms. Although there is limited evidence for gender differences among the variables in this study, findings showed that when experiencing stress, males tended to consume more alcohol and OTC medications relative to females. The clinical and educational implications of these findings are discussed."
etd_354,Corporate Social Responsibility Reporting: A Case for Southern Africa,Public Relations,"corporate social responsibility, CSR, CSR reporting","The study incorporates into the literature review from various disciplines such as strategic management, public relations, accounting and auditing. Qualitative content analysis research method was applied with references made to secondary research drawn from books, articles and electronic databases.The purpose of this thesis was to systematically analyze corporate social responsibility (CSR) content featured in the annual reports of 14 leading Southern African companies for the 2013 financial year. The objective of the study was to investigate how Southern African companies report on corporate social responsibility initiatives. The following research questions were addressed:Research Question 1: How are CSR reporting trends manifested in Annual Reports?Research Question 2: What is the scope of CSR activities demonstrated?Research Question 3: Is there a clear mandate for undertaking CSR strategies?The following trends were identified: commitment to the community, corporate pledge to society, scope of activities, employees living the values and declaration of CSR spending. The study found that the scope of CSR activities demonstrated seems to support sustainable development as an overarching concept for engaging in CSR. Lastly, companies did display a clear mandate for carrying out CSR initiatives."
etd_239,"COSTS AND BENEFITS OF EMPLOYEE INTERACTION WITH THE PUBLIC: EXTENDING THE KNOWLEDGE ON THE TYPOLOGY, CONSEQUENCES, PROCESSES, AND CONTINGENCIES",Business Administration,"Customer service, Job performance, Multilevel analysis, Personality, Scale development and validation, Work stress","Two areas of research approach employee interactions with the public in different ways; research on emotional labor and burnout describes it as solely harmful, while research on job design considers its merits. I propose that each area of the literature adopts a narrow perspective that creates these different views. This dissertation constructs and validates a framework based on valence (negative and positive) and content (affect-based and task-based) dimensions that identify four types of employee experiences with the public: mistreatment, gratitude, problematic demands, and cooperation. Then, I use these measures to predict employee well-being (i.e., emotional exhaustion and job satisfaction) and performance (i.e., prescribed task performance, proactive customer service, and incivility toward customers), the mechanisms that underlie these outcomes, and the boundary conditions. Based on multilevel analyses of 403 service employee-supervisor dyads from various organizations in Thailand, I found that both negative and positive interactions with the public contribute to employee well-being and performance. Moreover, I found that negative experiences with the public do not always cause deleterious effects on employees (e.g., poor proactive customer service and incivility toward customers). This paper systematically explores the patterns, mediating processes, and boundary conditions of the relationships between different types of interactions with the public and key work-related outcomes. These findings offer important implications for research and practice in the area of customer service performance."
etd_412,Coteaching in Secondary Schools,Teaching and Leadership,"collaboration, coteaching, pedagogical content knowledge","The use of coteaching as a means of supporting students with disabilities in the general education classroom is becoming more common. The literature base on the effectiveness of coteaching in elementary grade levels is well established; however, coteaching in secondary school is a less documented topic. Therefore, this study examines coteaching in secondary schools. Coteaching, as defined in this study, is one general and one special education teacher sharing instructional responsibilities for at least one group of students in one classroom for at least one instructional period. The research questions guiding the study focused on the models of coteaching used at the secondary level, coteachers’ understanding of coteaching, reported challenges in sustaining coteaching, and the matters that influence coteaching practices.For this study, qualitative research methods were used to collect data on coteaching practices in two suburban school districts. There were 13 participants in this study comprising seven coteaching pairs; one special educator was a member in two participant pairs. The grade levels represented by the participants were seventh, eighth, ninth, and tenth; the content areas represented were English, French, mathematics, science, and social studies. Data was gathered during two school years (May 2011 to March 2012) through two in-depth interviews and one observation of the participant pairs coteaching. Each coteacher participated in one individual semi-structured interview. Six of the seven participant pairs also participated in one semi-structured interview with their coteaching partner; one participant pair was not able to complete the joint interview because of scheduling difficulties. Each coteaching pair was observed for one instructional period. The interviews and observations yielded data on the coteaching practices of the participants.Significant findings of the study include a deeper understanding of the complexities of coteaching at the secondary level. The six models of coteaching (one teach – one assist, station teaching, parallel teaching, alternative teaching, teaming, and one teach – one observe), are a useful framework for coteachers. The use of one particular coteaching model over another one seems to be influenced by the open communication and the level of trust between the partners. Likewise, open communication may lead to a richer understanding of coteaching for each partner and development of shared pedagogical content knowledge (PCK). Shared PCK, a new conceptualization of teacher knowledge based on the collaborative work of coteachers, is an amalgam of knowledge of content, knowledge of pedagogy, and knowledge of student learning characteristics. Findings of this study indicate that shared PCK led the participant pairs to engage in more synergistic coteaching practices. In addition to the development of shared PCK, personal principles of teaching, contextual matters, and the role each teacher negotiates while coteaching also influenced coteaching practices. The participants reported that challenges to their coteaching practices included inadequate time to collaborate, connect and co-plan; the demands on the special educators’ time; and the class roster composition.The findings of this study should be considered in light of the limitations of the study. Limitations include the limited amount of interview and observational data on coteaching practices and the lack of data on student achievement in cotaught classes. Implications are offered for further research as well as considerations for teacher education and coteaching practices in secondary schools."
com_etd_90,Court Of Public Opinion: How the Convicted Perceive Mass Media Have Affected Their Criminal Trials and Personal Lives,Mass Communications,"media effects, newspapers, perception, perp walk, prisoners, qualitative",This paper is designed to provide insights into a neglected aspect of crime news effects. This mixed-qualitative methods study explores what effects convicted criminals report experiencing in the wake of media coverage of their alleged crimes and trials. There are two primary areas of focus in this study: What effects inmates perceive media coverage has had on their cases and how they feel they have been personally affected by media coverage of their alleged crimes and subsequent trials.
